name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_web,imports_from,exports_web,exports_to,lat,lon,desc,source
Czech Republic,203,CZE,0,0,1,1,<span>none</span>,none,<span>none</span>,none,49.73244821,15.3141031,"The Czech Republic has domestic production of drones. Along with twelve other NATO allies, will take part in buying five drones for NATO by 2017.",
Denmark,208,DNK,0,0,1,1,<span>France</span><span>United States of America</span><span>Armenia</span><span>Netherlands</span>,"France, United States of America, Armenia, Netherlands",<span>none</span>,none,55.96471679,10.05066968,"Drones are produced domestically. Denmark has purchased Puma UAVs from the United States. Two Raven drones have been loaned by the Netherlands for training purposes in 2012. Ten Krunk drones have been exported from Armenia for agronomic research. Military reconnaissance drones are produced domestically with no payload capacity, but the Huggin X1 drones can be linked with a Canadian built (Colt Canada) network platform mounted to a soldier's weapon designed to provide surveillance based upon the direction and angle of the soldier's weapon.",
Ecuador,218,ECU,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,-1.424746988,-78.34819205,Ecuador has imported Heron Machatz-1 and Searcher-2 drones from Israel and produces UAV-2 Gavilan domestically. ,
Egypt,818,EGY,0,0,1,1,<span>United States</span>,United States,<span>none</span>,none,27,30,"Egypt has imported R4E SkyEye and M324 Scarab tactical drones from the United States and ten ANKA drones from Turkey. General Atomics, a US company, received export licenses to sell an unarmed export version of the Predator to Egypt in 2010. Egypt has also domestically produced twelve ASN-209 drones in cooperation with a Chinese company.",
Estonia,233,EST,0,0,1,1,<span>United States of America</span>,United States of America,<span>Georgia</span>,Georgia,58.6708374,25.53595675,"Estonia domestically produces UAS Swan drones which are only outfitted with camera technology and have been exported to Georgia. There are reports that Estonia plans to purchase surveillance drones, such as the RQ-4 Global Hawk UAV and RQ-11 Raven, within the next few years. ",
Ethiopia,231,ETH,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,8,38,Ethiopia has domestically developed and produced drones but has also imported BlueBird drones from Israel.  The U.S. is operating drone bases out of Ethiopia. ,
Finland,246,FIN,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,62.52242187,26.17909626,Finland has domestic production of drones but has also imported from Israel. ,
France,250,FRA,0,1,1,1,<span>Israel</span><span>Canada</span><span>United States of America</span>,"Israel, Canada, United States of America",<span>Greece</span><span>Denmark</span>,"Greece, Denmark",47.01047927,2.1591001,"France has domestic productionof drones but also imports from Israel and Canada.  Collaboration with Britain; Italy, Switzerland, Sweden, Spain, Greece; and with Germany in producing drones.   Imports from the U.S. include Reaper drones. France deployed two of the recently purchased unarmed Reaper drones to Niger to support the mission in Mali. France has joined with Germany, Greece, Italy, Netherlands, Poland, and Spain to create a _drone users club"" intended to compete with Israeli and U.S. drones markets. Morocco is considering purchasing France's surplus Israeli Drones.",
Georgia,268,GEO,0,0,1,1,<span>Estonia</span><span>Israel</span>,"Estonia, Israel",<span>none</span>,none,41.43,44.5,Georgia has domestic production of drone sand imported Hermes 450 and Skylark drones from Israel and Swan drones from Estonia.,
Germany,276,DEU,0,0,1,1,<span>Israel</span><span>United States of America</span>,"Israel, United States of America",<span>Thailand</span>,Thailand,51.10621317,10.38154835,"Germany was collaborating with the European aerospace company EADS to develop five Euro Hawk drones, based on the U.S. Global Hawk, but the program was cancelled in 2013. Germany then joined six other EU states to create Medium Altitude Long Endurance drones intended to compete with Israeli and U.S. drone firms.[clxii]  Germany has imported three Heron drones from Israel which were used in Afghanistan.",
Greece,300,GRC,0,0,1,1,<span>France</span>,France,<span>none</span>,none,39.05121967,22.9751402,"Greece has domestic production of Medium Altitude Long Endurance drones in conjunction with Sweden, Switzerland, Spain, Italy and France. Sperwer MkII UAVs have been imported from France. Unsubstantiated report that Greece was looking to purchase drones for Israel.",
Hungary,348,HUN,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,47.16324369,19.39675927,Hungary has domestic production of drones.[clxxiii] Hungary has also imported Elbit Skylark drones from Israel.,
India,356,IND,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,22.88736601,79.61221374,"India has domestic production of Lakshya, Nishant and Rustom drones. India has also imported Heron, Searcher-II and Harpy Killer UCAV drones from Israel. The Defence Research and Development Organization, an agency of the Republic of India, is continuing development on the AURA drones combat designed drones set for release as late as 2020. Officials announced that they would soon be equipping drones with precision guided munitions. There was a recent request for 49 hand-held mini drones for troops.",
Indonesia,360,IDN,0,0,1,1,<span>Israel</span>,Israel,<span>none</span>,none,-4.200896923,119.9640095,Indonesia has imported Searcher-II drones from Israel. Officials announced that the domestically produced Wulung drones will be mass-produced. ,
Iran,364,IRN,0,1,1,1,<span>none</span>,none,<span>Chile</span><span>Venezuela</span>,"Chile, Venezuela",32.57202709,54.27628645,"Iran has domestic production of drones.  In August 2010, Iran unveiled the _Karar"" drone, which President Mahmoud Ahmadinejad called an _ambassador of death,"" and which reportedly can carry up to four cruise missiles with a range of over 600 miles. Iranian-made Ababil drones (which function more as cruise missiles) have been used by Hezbollah. According to the Iranian military, there is also domestic production of drones of short-range reconnaissance such as the Yasseer drones and  Shahad-129 drones capable of 1,700 km range carrying up to 8 missiles.  In November 2013, they released Fotros drones with a 2,000 km range.[xlvi] Officials claimed to have reproduced a U.S. drones that was downed in Iran.",
Iraq,368,IRQ,0,0,1,0,<span>United States of America</span>,United States of America,<span>none</span>,none,32.96044756,42.97784766,"Iraq has imported from U.S. and Iraq's navy has purchased U.S. drones to protect the country's oil platforms in the South, from where most of Iraq's oil is shipped. Imported ten ScanEagle drones from U.S. for surveillance against insurgents. ",
