name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,NATO,Unsubstantiated Imports,Unsubstantiated Exports,lat,lon,desc,source
Hungary,348,HUN,0,0,1,1,Israel,none,0,,,47.16324369,19.39675927,Hungary has domestic production of drones. Hungary has also imported Elbit Skylark drones from Israel.,"Budapest Times: http://www.budapesttimes.hu/2012/11/12/hungarian-drones-create-a-buzz/, Military Factory: http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=1044"
India,356,IND,0,1,1,1,Israel,none,0,,,22.88736601,79.61221374,"India has domestic production of Lakshya, Nishant and Rustom drones. India has also imported Heron, Searcher-II and Harpy Killer UCAV drones from Israel. The Defence Research and Development Organization, an agency of the Republic of India, is continuing development on the AURA drones combat designed drones set for release as late as 2020. Officials announced that they would soon be equipping drones with precision guided munitions. There was a recent request for 49 hand-held mini drones for troops.","SIPRI: http://www.sipri.org/yearbook/2003/files/SIPRIYB0312.pdf, TOI: http://timesofindia.indiatimes.com/india/Armed-forces-building-deadly-drone-arsenal-also-want-combat-UAVs/articleshow/18341063.cms, TOI: http://articles.timesofindia.indiatimes.com/2010-03-26/india/28144019_1_searcher-ii-spy-drones-af-pak-region, Himal: http://old.himalmag.com/himal-feed/54/379-Indias-indigenous-drones.html, The Diplomat: http://thediplomat.com/2013/08/india-eyes-drones-launched-smart-bombs/, DNA: http://www.dnaindia.com/india/report-dna-exclusive-49-drones-to-keep-an-eye-on-china-and-pakistan-borders-1895756, Military Factor: http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=985"
Indonesia,360,IDN,0,1,1,1,Israel,none,0,,,-4.200896923,119.9640095,Indonesia has imported Searcher-II drones from Israel. Officials announced that the domestically produced Wulung drones will be mass-produced. ,"JPost: http://www.jpost.com/Israel/Indonesia-to-buy-four-Israeli-spy-drones, VOA: http://www.voanews.com/content/indonesia-readies-mass-production-of-drones/1651633.html, Jakarta Globe: http://www.thejakartaglobe.com/archive/dont-worry-about-drones-source-indonesia-defense-ministry-says/496512/, Jakarta Post: http://www.thejakartapost.com/news/2012/10/13/indonesia-develops-drone-monitor-border-regions.html"
Iran,364,IRN,0,1,1,1,none,"Chile, Venezuela",0,,"China, Chile",32.57202709,54.27628645,"Iran has domestic production of drones.  In August 2010, Iran unveiled the ""Karar"" drone, which President Mahmoud Ahmadinejad called an ""ambassador of death,"" and which reportedly can carry up to four cruise missiles with a range of over 600 miles. Iranian-made Ababil drones (which function more as cruise missiles) have been used by Hezbollah. According to the Iranian military, there is also domestic production of drones of short-range reconnaissance such as the Yasseer drones and  Shahad-129 drones capable of 1,700 km range carrying up to 8 missiles.  In November 2013, they released Fotros drones with a 2,000 km range. In 2014, officials claimed to have reverse-engineered a RQ-170 U.S. drone that was downed in Iran in 2011.","Guardian: http://www.theguardian.com/world/2010/aug/22/mahmoud-ahmadinejad-iran-bomber-drone and http://www.theguardian.com/world/2013/oct/21/iran-russia-us-scaneagle-spy-drone-production-capture, NYT: http://www.nytimes.com/2010/08/23/world/middleeast/23iran.html, YT News: http://www.ynetnews.com/articles/0,7340,L-4433889,00.html, BBC: http://www.bbc.co.uk/news/world-middle-east-24993269, Reuters: http://www.reuters.com/article/2013/02/24/us-iran-drones-idUSBRE91N00A20130224, Post: http://www.washingtonpost.com/world/national-security/iran-says-it-downed-us-stealth-drones-pentagon-acknowledges-aircraft-downing/2011/12/04/gIQAyxa8TO_story.html, Press TV: http://www.presstv.com/detail/2013/12/25/341932/iran-builds-new-unmanned-aerial-vehicle/"
Iraq,368,IRQ,0,0,1,0,United States,none,0,,,32.96044756,42.97784766,"Iraq has imported from U.S. and Iraq's navy has purchased U.S. drones to protect the country's oil platforms in the South, from where most of Iraq's oil is shipped. Imported ten ScanEagle drones from U.S. for surveillance against insurgents. ","Reuters: http://www.reuters.com/article/2012/05/21/us-iraq-energy-idUSBRE84K0H120120521, Bloomberg: http://www.bloomberg.com/news/2013-12-26/u-s-providing-drones-and-missiles-to-aid-iraq-in-terror-fight.html, Department of Defense: http://www.defense.gov/news/newsarticle.aspx?id=121442"
Israel,376,ISR,1,1,1,1,none,"Algeria, Angola, Australia, Azerbaijan, Botswana, Brazil, Canada, Chile, China, Columbia, Croatia, Ecuador, Ethiopia, Finland, France, Germany, Georgia, Hungary, India, Indonesia, Ivory Coast, Kazakhstan, Mexico, Nigeria, Philippines, Republic of Serbia, Russia, Singapore, South Korea, Spain, Sri Lanka, Taiwan, Thailand, Turkey, Uganda, Ukraine, United Kingdom, United States",0,,"Greece, Croatia, Slovakia, Tanzania, Chile",30.94244559,34.86974755,"Israel has domestic production of drones and imports drone engines from the United Kingdom. Israel is the largest exporter of drones in the world, responsible for 41 percent of all drones exported between 2001 and 2011, according to a database compiled by the Stockholm International Peace Research Institute, though it refuses to release the full list of countries to which it has sold military arms. A partial list of recipients includes the U.S., U.K., Canada, France, Australia, Germany, Spain, Brazil, India, China, Poland, the Netherlands, Azerbaijan, and Nigeria. U.S. consulting firm Frost & Sullivan reported in 2013 that Israel exported nearly $4.6 billion worth of systems between 2005 and 2012.","Reuters: http://www.reuters.com/article/2011/12/05/us-israel-drones-idUSTRE7B40XH20111205, Washington Post: http://www.washingtonpost.com/world/national-security/in-gaza-lives-shaped-by-drones/2011/11/30/gIQAjaP6OO_story.htm, Haaretz: http://www.haaretz.com/news/diplomacy-defense/1.567696, Salon: http://www.salon.com/2012/05/15/israels_drone_dominance/, WSJ: http://online.wsj.com/article/SB10001424052748703374304575622350604500556.html, Al Jazeera: http://www.aljazeera.com/programmes/peopleandpower/2014/04/201442911431250545.html, Haaretz: http://www.haaretz.com/news/diplomacy-defense/israel-is-world-s-largest-exporter-of-drones-study-finds.premium-1.524771#, AP: http://www.huffingtonpost.com/2013/06/05/israel-world-largest-drone-exporter_n_3392034.html"
Italy,380,ITA,0,1,1,1,United States,none,1,,,42.88724067,12.62349234,"Italy has domestic production of drones. Imports from the U.S. include the unarmed RQ-1B Reaper drones. Reports indicate that the United States planned to arm Italy's MQ-9 Reaper drones in Afghanistan with Hellfire missiles. Italy is also pursuing development of Black MALE.   Italy has joined with France, Germany, Netherlands, Poland and Spain to create a ""drone users club"" intended to compete with the Israeli and U.S. drone markets.  Italy is to produce Medium Altitude Long Endurance nEUROn drones in conjunction with Sweden, Switzerland, Spain, Greece and France. Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.","Defense News: http://www.defensenews.com/article/20131115/DEFREG01/311150026/UAE-Ups-Its-Stake-Drones-maker-Piaggio-Aero, Gizmag: http://www.gizmag.com/hammerhead-uav-italy-flight/29889/, Guardian: http://www.theguardian.com/news/datablog/2012/aug/03/drone-stocks-by-country, NYT: http://www.nytimes.com/2012/05/30/world/europe/us-proposes-arming-6-of-italys-reaper-drones.html, Business Insider: http://www.businessinsider.com/italy-drones-armed-with-us-missiles-2012-5, Aviation Week: http://aviationweek.com/awin/italy-looking-develop-black-male-uav, EU Observer: http://euobserver.com/defence/122167, Huff Post: http://www.huffingtonpost.co.uk/2012/12/03/neuron-europes-first-stealth-drone-test-flight_n_2230316.html, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Ivory Coast,384,CIV,0,0,1,0,Israel,none,0,,,7.627839044,-5.569010555,The Ivory Coast has imported drones from Israel. They have also sent a request to the U.N. for drones to monitor their border with Liberia.,"Global Post: http://www.globalpost.com/dispatch/news/regions/middle-east/israel-and-palestine/121015/israels-drones-unmanned-and-unbound?page=0,1, BBC: http://www.bbc.co.uk/news/world-africa-22181553"
Japan,392,JPN,0,0,1,1,none,China,0,,,36.8805847,139.4093269,"Japan has domestic production of small helicopter drones. In 2013, Japan planned on purchasing three drones to build up the nation's defense. The U.S. deployed two Global Hawk drones to Japan.","Forbes: http://www.forbes.com/sites/alexknapp/2011/11/03/japanese-defense-ministry-develops-spherical-flying-drone/, WSJ: http://blogs.wsj.com/japanrealtime/2013/12/17/japan-to-protect-islands-with-drones-and-amphibious-units/, BBC: http://www.bbc.co.uk/news/world-asia-25411653, Washington Times: http://www.washingtontimes.com/news/2014/may/30/us-deploys-advanced-drones-to-japan-to-watch-china/"
Jordan,400,JOR,0,0,1,1,none,none,0,,,31.27502911,36.39188938,"Jordan has domestic production of drones and co-production of drones with an Italian company. The Jordan Falcon drones, produced as a result of a joint venture between the King Abdullah II Design and Development Bureau and Jordan Aerospace industries, is a light-class unarmed drones capable of reconnaissance, surveillance, and target designation/tracking. ","UPI: http://www.upi.com/Business_News/Security-Industry/2009/12/02/Jordan-works-with-Selex-for-drones/UPI-88051259805753/, Military Factory: http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=904, King Abdullah II Design and Development Bureau: http://www.kaddb.com/SitePage.aspx?PageId=78"
Kazakhstan,398,KAZ,0,0,1,0,"Israel, Russia",none,0,,,48.16067093,67.29601258,Kazakhstan imported the Orbiter drones from Israel in 2008 and has also reportedly imported ten Irkut drones from Russia. Kazakhstan is in talks with the Israeli companies Elbit and IAI to establish a tactical drones manufacturing facility in the country in 2013. Kazakhstan also signed a deal with Sagem in 2010 to jointly produce drones within Kazakhstan; however this agreement has yet to manifest.,"Institute for National Security Studies: http://inss.web2.moonsite.co.il/uploadimages/SystemFiles/israel-2012.pdf, Bnews: http://www.bnews.kz/en/news/post/103129/, Security Assistance Monitor: http://securityassistancemonitor.wordpress.com/2013/11/06/with-belarus-venture-turkmenistan-to-become-newest-eurasian-drone-manufacturer/, Safran Group: http://www.sagem.com/spip.php?article713"
Kenya,404,KEN,0,0,1,0,"United States, Israel",none,0,,,-0.023559,37.906193,"Kenya has imported drones from Israeli companies. U.S. gave eight small Raven drones, which Kenya has used to surveil militants and poachers.","Global Post: http://www.globalpost.com/dispatch/news/regions/middle-east/israel-and-palestine/121015/israels-drones-unmanned-and-unbound?page=0,1, WSJ: http://online.wsj.com/news/articles/SB10001424052702304795804579100944028167308, WSJ: http://online.wsj.com/news/articles/SB10000872396390444097904577539362229840378, Guardian: http://www.theguardian.com/environment/2014/apr/25/kenya-drones-national-parks-poaching"
Latvia,428,LVA,0,0,1,1,none,none,1,,,56.85176106,24.90912823,"Latvia has domestic production of drones manufactured by UAV Factory, which produces the Penguin B, BE & C drones. Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.","UAS Yearbook: http://uas.usgs.gov/UAS-Yearbook2010/pdf/P161-195_World-UAS-Reference-Section.pdf, UAV Factory: http://www.uavfactory.com/page/technical-data, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Lebanon,422,LBN,0,0,1,0,"United States, France",none,0,,,33.92039761,35.88027232,"Lebanon was given twelve Raven UAV by the United States as part of a military aid package, and will receive drones from France in 2015 as part of a larger military equipment purchase.","UPI: http://www.upi.com/Top_News/Special/2009/03/23/Lebanon-gets-Raven-mini-DRONES-from-US/UPI-71721237838143/, Forbes: http://www.forbes.com/pictures/mhl45glli/rq-11-raven/, Reuters: http://www.reuters.com/article/2014/11/05/mideast-crisis-lebanon-france-idUSL6N0SV5V120141105"
Libya,434,LBY,0,0,1,0,none,none,0,,,32.49,13.07,"Libyan Air Force uses drones for aerial surveillance,but it is unclear where they acquired the drones and no reports of domestic production.","Libya Herald: http://www.libyaherald.com/2013/03/17/libyan-drones-take-to-skies-for-first-time/#axzz2tnEkXn00, Libyan Embassy: http://english.libyanembassy.org/?p=4283"
Lithuania,440,LTU,0,0,0,0,none,none,1,,,54.38,25.19,"Lithuania contributed over $6.5 million to NATO's Alliance Ground Surveillance (AGS) division developed by NATO, an alliance between 15 nations who will share five Global Hawk RQ-4B drones for high altitude reconnaissance and surveillance.","15min: http://www.15min.lt/en/article/politics/lithuania-to-contribute-4-8-million-euros-to-nato-s-unmanned-aircraft-program-526-220911, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Luxembourg,442,LUX,0,0,0,0,none,none,1,,,,,Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.,NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm
Malaysia,458,MYS,0,1,1,1,none,none,0,,,4.004447077,108.1746513,"Malaysia has domestic production of drones manufactured by three companies, Composites Technology Research Malaysia (CTRM), Systems Consultancy Sdn Bhd (SCS), and Ikramatic Sdn Bhn, who partnered to form Unmanned Systems Technology Sdn Bhd (UST). UST produces Aludra low altitude long endurance drones and worked with Adcom Systems, a United Arab Emirates company to develop the Yabhon Aludra medium altitude long endurance drone.","Star: http://www.thestar.com.my/story/?file=/2007/5/16/nation/17738522, Brahmand: http://www.brahmand.com/news/Malaysia-to-produce-indigenous-DRONES-in-2010/2623/1/11.html, Defence Review Asia: http://www.defencereviewasia.com/articles/195/Asian-region-UAV-capability-on-the-rise"
Mexico,484,MEX,0,0,1,1,Israel,none,0,,,23.94754633,-102.5270403,Mexico has domestic production of drones operating at least 100 and has also imported Hermes 450 drones from Israel. ,ASCOA: http://www.as-coa.org/articles/explainer-drones-latin-america
Morocco,504,MAR,0,0,0,0,none,none,0,"France, United States",,30.78546372,-7.352822163,The status of drones in Morocco is uncertain. General Atomics received an export license to sell an unarmed Predator drones to Morocco but it is unclear whether that deal has been completed. Unsubstantiated reports that Morocco purchased three surplus Israeli-made Heron drones from France. Unsubstantiated release from the Royal Moroccan Armed Forces announced its pre-production search and development phase of drones for 2014-2015.,"Bloomberg: http://www.bloomberg.com/news/2010-07-20/general-atomics-gains-approval-to-sell-predator-drones-to-pakistan-egypt.html, CNN: http://www.cnn.com/2012/10/01/opinion/bergen-world-of-drones/, Israel Defense: http://www.israeldefense.com/?CategoryID=472&ArticleID=2702, Defense Industry Daily: http://www.defenseindustrydaily.com/frances-harfang-sidm-iuav-program-06091/, Royal Moroccan Armed Forces: http://farmorocco.wordpress.com/2014/01/17/industry-first-moroccan-made-uav/"
Netherlands,528,NLD,0,1,1,1,"United States, Israel",Denmark,0,France,,52.33612442,5.669038978,"The Netherlands has domestic production of drones and imported drones from Israel and possibly from France, owning around 75 drones. They have acquired four MQ-9 Reaper Medium Altitude Long Endurance drones from the United States and  are expected to have full operational capability at the end of 2017. Two Raven drones were loaned to Denmark for training purposes in 2012.","Haaretz: http://www.haaretz.com/news/diplomacy-defense/israel-is-world-s-largest-exporter-of-drones-study-finds.premium-1.524771#, Dutch News: http://www.dutchnews.nl/news/archives/2013/03/use_of_drone_aircraft_by_polic.php, Aviation Week: http://aviationweek.com/blog/reaper-goes-dutch, Radio Netherlands Worldwide: http://www.rnw.nl/english/bulletin/denmark-borrows-dutch-drones"
New Zealand,554,NZL,0,1,1,1,United States,none,0,,,-41.96212798,173.0323093,New Zealand domestically produces the AeroHawk drone and has purchased Predator drones from the United States.,"Bloomberg: http://www.bloomberg.com/news/2010-07-20/general-atomics-gains-approval-to-sell-predator-drones-to-pakistan-egypt.html, Hawkeye UAV: http://www.hawkeyeuav.com/company/about-us.html"
Nigeria,566,NGA,0,0,1,0,Israel,none,0,,,10,8,"Nigeria has imported Aerostar drones from Israel. The domestically produced GULMA drone was revealed in 2013. The Nigerian Air Force Institute of Technology (AFIT) produced the GULMA drones that barely meets the Tier II classification flying at a maximum altitude of 10,000 feet, reaching a top speed of 86 knots and possessing an endurance of 5.8 hours.","Global Post: http://www.globalpost.com/dispatch/news/regions/middle-east/israel-and-palestine/121015/israels-drones-unmanned-and-unbound?page=0,1, Popular Science: http://www.popsci.com/article/technology/nigeria-shows-its-first-drone, Defence Web: http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=33115:nigerian-commissions-new-drones&catid=35:Aerospace&Itemid=107"
Norway,578,NOR,0,0,1,1,none,none,1,,,61.26020021,9.078549194,Norway has domestic production of Black Hornet pocket drones by Prox Dynamics and has been asked by the United States to develop the pocket-sized drone for the U.S. Army. Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.,"Military and Aerospace: http://www.militaryaerospace.com/articles/2013/10/helicopter-micro-uav.html, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Pakistan,586,PAK,0,0,1,1,"China, United States",none,0,,,29.94883006,69.34185214,"Pakistan has domestic production of drones, first deployed in 2013 and has imported drones from China and United States.  There has been reported co-production of drones with Italian and Chinese manufacturers in separate projects.  It is unclear whether or not Pakistan's domestic drones are armed or not, as the drones bear resemblance to Chinese armed Rainbow CH-3 drones, however, military officials have claimed that the drones are for surveillance only. ","NASA: http://www.nasa.gov/centers/dryden/pdf/111761main_UAV_Capabilities_Assessment.pdf, Reuters: http://www.reuters.com/article/2011/04/21/usa-pakistan-drones-idUSN2129161820110421, UPI: http://www.upi.com/Business_News/Security-Industry/2009/08/31/Pakistan-to-make-its-own-drones/UPI-71101251759880/, Global Post: http://www.globalpost.com/dispatch/news/regions/middle-east/israel-and-palestine/121015/israels-drones-unmanned-and-unbound?page=0,1, NYT: http://www.nytimes.com/2013/11/26/world/asia/pakistan-domestic-drones-ready.html, Washington Post: http://www.washingtonpost.com/world/asia_pacific/pakistan-unveils-its-own-military-drones-as-protests-continue-against-us-attacks/2013/11/25/fae691cc-5607-11e3-bdbf-097ab2a3dc2b_story.html, Diplomat: http://thediplomat.com/2014/05/pakistan-seeks-chinese-drones/"
Panama,591,PAN,0,0,1,0,United States,none,0,,,9,79.25,Panama planned on importing $300 million in drones from the United States and at one time was considering purchasing Heron drones from Israel. ,"JPost: http://www.jpost.com/Israel/After-Brazil-and-El-Salvador-Panama-to-test-Israeli-UAV, Dialogo: http://dialogo-americas.com/en_GB/articles/saii/features/main/2011/06/30/feature-01?change_locale=true"
Peru,604,PER,0,0,1,1,none,none,0,,,-9.851600307,-75.51474036,Peru has domestic production of three drone models and has imported five Israeli drones for both military and non-military purposes.,"ASCOA: http://www.as-coa.org/articles/explainer-drones-latin-america, COHA: http://www.coha.org/coha-report-drones-in-latin-america/"
Philippines,608,PHL,0,0,1,1,Israel,none,0,,,11.76338277,122.8747136,The Philippines have domestic production of Raptor and Knight Falcon drones and has imported drones from Israel.  Drones have been used for border monitoring. The army is developing a third drone model that will combine the features of the Raptor and Knight Falcon drones.,"Gulf News: http://gulfnews.com/news/world/philippines/philippines-admits-use-of-drones-against-anti-government-forces-1.1269439, Philippine Star: http://www.philstar.com/headlines/2013/12/20/1270362/troops-used-drones-zamboanga-crisis-ops"
Poland,616,POL,0,0,1,1,United States,none,1,,,52.12467174,19.39445112,"Poland has domestic production of drones and imports drones from the US. Poland sought drones from Israel but Israel cancelled Poland's export licenses in 2014, killing any potential sale. In May 2014, the Polish government announced that it would be replacing its aging fighter jets with  armed drones by 2022, the first of which will be acquired in 2016. In November 2014, the Polish government said will begin acquiring reconnaissance drones in 2017 and attack models in 2018-2019 and that talks were underway with U.S. manufacturers, among others. Participating in NATO's Airborne Ground Surveillance Program which will give NATO five HALE drones by 2017.","Defense News: http://www.defensenews.com/article/20141104/DEFREG01/311040030, Defense News: http://www.defensenews.com/article/20131211/DEFREG01/312110020/Poland-Seeks-Boost-Drone-Fleet, Defense News: http://www.defensenews.com/article/20140513/DEFREG01/305130032/Ukraine-Crisis-Speeds-E-European-UAV-Efforts, Globes: http://www.globes.co.il/en/article-defense-ministry-nixes-uav-sale-to-poland-1000916180, Haaretz: http://www.haaretz.com/news/diplomacy-defense/israel-is-world-s-largest-exporter-of-drones-study-finds.premium-1.524771#, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Portugal,620,PRT,0,0,1,1,none,none,0,,,39.55022731,-8.270465604,Portugal has domestic production of drones.,"Portugal News Online: http://www.theportugalnews.com/news/portugals-drone-flop-goes-viral/31340#.U1pS0N9qoIU.twitter, UAVISION: http://www.uavision.com/#!about2/c4nz"
Republic of Serbia,688,SRB,0,0,1,1,Israel,none,0,,,44.5,20.37,Serbia has domestic production of drones and purchased Israeli Orbiter drones in 2008.,"Balkan Monitor: http://balkanmonitor.wordpress.com/2010/01/29/uavs-serbian-uav-solution-sparrow/, WikiLeaks: https://wikileaks.org/gifiles/docs/74/743279_israel-serbia-serbia-s-domestically-developed-drone-makes.html"
Romania,642,ROU,0,0,0,0,none,none,1,,,45.85341254,24.97309938,"Participating in NATO's Alliance Ground Surveillance program, a consortium of 15 countries that will maintain five Global Hawk high altitude long endurance drones.",NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm
Russia,643,RUS,0,0,1,1,Israel,"Belarus, Kazakhstan",0,,,61.98347077,96.68898114,"Russia has domestic production of drones and plans to invest an additional $9.2 billion in production. In 2009, Russia purchased $150 million on drones from Israel.  Construction of a co-produced mini drone with Vietnam was announced in 2012. Russia is developing its first long range drones capable of conducting ground attack missions, scheduled for deployment by 2017. NBC News reported that Russia is developing a 20 ton attack drones whose prototype could be ready by 2020. Russia will conduct test flights in the UAE of a drone aircraft capable of carrying Namrod air-surface guided missiles.","Diplomat: http://thediplomat.com/2014/06/russias-coming-combat-drones/, Ria Novosti: http://en.rian.ru/analysis/20110811/165713287.html, Defense News: http://www.defensenews.com/article/20140513/DEFREG01/305130032/Ukraine-Crisis-Speeds-E-European-UAV-Efforts, Haaretz: http://www.haaretz.com/print-edition/news/russia-in-talks-to-buy-israeli-made-spy-drones-1.2589, UPI: http://www.upi.com/Business_News/Security-Industry/2012/03/20/Russia-to-build-mini-uav-drones/UPI-67911332274228/, NBC: http://www.nbcnews.com/tech/innovation/20-ton-attack-drone-under-development-russia-f8C11351266, Defense Talk: http://www.defencetalk.com/russia-to-test-uae-made-drone-next-year-49815/"
Singapore,702,,0,1,1,1,Israel,none,0,,,1.358790815,103.8137972,"Singapore has domestic production of Skyblade drones and imports Heron, Hermes and Searcher II drones from Israel. ","JPost: http://www.jpost.com/Defense/Singapore-now-flying-improved-Israeli-drones, Flight Global: http://www.flightglobal.com/news/articles/singapore-to-deploy-skyblade-iii-uav-350317/"
Slovakia,703,SVK,0,0,1,1,none,none,1,Israel,,48.70493504,19.48038292,"Slovakia has domestic production of drones. Reports that Skylark drones have been imported from Israel lack credibility. Slovakia is participating in NATO's Alliance Ground Surveillance program, a consortium of 15 countries that will maintain five Global Hawk high altitude long endurance drones.","ET-Air-UAV: http://www.etair-uav.com/about1.html, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm, Pravda: http://spravy.pravda.sk/domace/clanok/162527-armada-kupila-bezpilotne-lietadla-snazila-sa-to-tajit/"
Slovenia,705,SVN,0,0,1,1,none,none,1,,,46.11613587,14.80813927,"Slovenia has domestic production of drones. Participating in NATO's Alliance Ground Surveillance program, a consortium of 15 countries that will maintain five Global Hawk high altitude long endurance drones.","NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm, C-ASTRAL Aerospace: http://c-astral.com/about-us/about-c-astral/"
South Africa,710,ZAF,0,0,1,1,none,"Algeria, United Arab Emirates",0,,,-30.52714279,23.02399051,South Africa has domestic production of drones and exports to Algeria and UAE. South Africa reportedly agreed to help Saudi Arabia develop armed drones in April 2013.,"Denel Dynamics: http://www.deneldynamics.co.za/index.php/world-class-products, Reuters: http://www.reuters.com/article/2010/09/22/africa-missiles-idUSLDE68L1AM20100922, UPI: http://www.upi.com/Business_News/Security-Industry/2013/04/16/Saudis-turn-to-South-Africa-for-uavs/UPI-20551366129424/"
South Korea,410,KOR,0,0,1,1,"Israel, United States",none,0,,,36.46441371,127.9738728,South Korea has domestic production of drones. Reports of both  imports from Israel and a joint development program with Israel. South Korea is struck a deal witht the United States to import four RQ-4 Block 30 Global Hawk drones that are expected to be delivered between 2017 and 2019.,"Korea Times: http://www.koreatimes.co.kr/www/news/nation/2012/09/113_120065.html, Der Spiegel: http://www.spiegel.de/international/world/messengers-of-death-are-drones-creating-a-new-global-arms-race-a-792590.html, Yonhap News: http://english.yonhapnews.co.kr/business/2014/04/11/24/0503000000AEN20140411004800320F.html, Reuters: http://www.reuters.com/article/2011/09/01/us-korea-usa-globalhawk-idUSTRE78005T20110901, SUAS News: http://www.suasnews.com/2013/11/25978/south-korean-global-hawks-set-for-2017-19-delivery/"
Spain,724,ESP,0,1,1,1,Israel,none,0,,,40.79586712,-3.289231856,"Spain has domestic production of mini and MALE drones and used Israeli Heron and Searcher drones in Afghanistan.  Spain joined with France, Germany, Greece, Italy, the Netherlands and Poland to create a ""drones users club"" with the hopes of catching up to United States and Israel's drone capabilities. Spain has worked with Greece, Sweden, Switzerland, Italy and France to develop the Medium Altitude Long Endurance nEUROn drones.","Haaretz: http://www.haaretz.com/news/diplomacy-defense/israel-is-world-s-largest-exporter-of-drones-study-finds.premium-1.524771#, Der Spiegel: http://www.spiegel.de/international/world/messengers-of-death-are-drones-creating-a-new-global-arms-race-a-792590.html, EU Observer: http://euobserver.com/defence/122167, Huff Post: http://www.huffingtonpost.co.uk/2012/12/03/neuron-europes-first-stealth-drone-test-flight_n_2230316.html, Diplomat in Spain: http://thediplomatinspain.com/en/espana-perdio-dos-drones-en-afganistan-pero-ninguno-acabo-en-manos-de-los-taliban-2/"
Sri Lanka,144,LKA,0,1,1,0,Israel,none,0,,,7.615738331,80.7035495,Sri Lanka has imported Searcher II and Scout drones from Israel.,"Defence Review Asia: http://www.defencereviewasia.com/articles/195/Asian-region-UAV-capability-on-the-rise, Der Spiegel: http://www.spiegel.de/international/world/messengers-of-death-are-drones-creating-a-new-global-arms-race-a-792590.html"
Sweden,752,SWE,0,0,1,1,none,Vietnam,0,,,65.12686249,17.93412497,"Sweden has domestic production of drones. Sweden worked with Greece, Switzerland, Spain, Italy and France to produce the nEUROn Medium Altitude Long Endurance drone. Sweden entered into an agreement with Vietnam to provide drones technology and help in producing drones.","Swedish Wire: http://www.swedishwire.com/business/18932-combat-jetmaker-saab-plans-to-build-drones, Huff Post: http://www.huffingtonpost.co.uk/2012/12/03/neuron-europes-first-stealth-drone-test-flight_n_2230316.html, SUAS News: http://www.suasnews.com/2012/11/19783/vietnam-sweden-to-cooperate-in-unmanned-aircraft-manufacturing/"
Switzerland,756,CHE,0,0,1,1,none,none,0,,,46.79902293,8.2153826,"Switzerland has domestic production of drones.  Switzerland also produces nEUROn drones in cooperation with Greece, Sweden, Spain, Italy and France. Switzerland is contemplating importing drones from Israel to replace outdated Ranger UAVs developed in conjunction with Israel.","Swiss Info: http://www.swissinfo.ch/eng/successful-takeoff-for-swiss-commercial-drones/35863208, UMS Group: http://umsgroup.aero/company/about-us/, Huff Post: http://www.huffingtonpost.co.uk/2012/12/03/neuron-europes-first-stealth-drone-test-flight_n_2230316.html"
Taiwan,158,TWN,0,1,1,1,Israel,none,0,,,24,121,Taiwan has domestic production of drones and is developing drones similar to the Predator MQ-9.,"Defence Review Asia: http://www.defencereviewasia.com/articles/195/Asian-region-UAV-capability-on-the-rise, Flight Global: http://www.flightglobal.com/news/articles/taiwan-looks-to-develop-advanced-unmanned-systems-360628/, Drone Wars UK: http://dronewarsuk.files.wordpress.com/2014/01/israel-and-the-drone-wars.pdf"
Tanzania,834,TZA,0,0,0,0,none,none,0,Israel,,6.369028,34.888822,There are allegations that Tanzania has imported from Israel. Discussed anti-poaching program with the United States that would give Tanzania drones to track and patrol endangered species.,"Global Post: http://www.globalpost.com/dispatch/news/regions/middle-east/israel-and-palestine/121015/israels-drones-unmanned-and-unbound?page=0,1, Defence Web: http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=32029:tanzania-considering-us-proposal-to-use-drones-in-anti-poaching-ops&catid=87:border-security&Itemid=188"
