name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,NATO,Unsubstantiated Imports,Unsubstantiated Exports,lat,lon,desc,source
Botswana,72,BWA,0,0,1,0,Israel,none,0,,,-22.48287928,24.22402421,There are reports of domestic production but Botswana has also imported drones from Israel. There are reports of requests from Botswana to purchase drones from the United States.,"Haaretz: http://www.haaretz.com/news/diplomacy-defense/.premium-1.567693, WSJ: http://online.wsj.com/news/articles/SB10001424052702304795804579100944028167308"
Brazil,76,BRA,0,1,1,1,Israel,none,0,,,-10.78278082,-53.093972,Brazil has domestic production of small surveillance drones but has also imported Hermes drones from Israel.  Brazil plans joint drone production with Argentina and Israel and a possible partnership with Turkey.,"ASCOA: http://www.as-coa.org/articles/explainer-drones-latin-america, UPI: http://www.upi.com/Business_News/Security-Industry/2009/08/03/Drones-tested-for-Brazilian-police/UPI-91221249341564/, UPI: http://www.upi.com/Business_News/Security-Industry/2012/04/18/Argentina-plans-more-defense-manufacturing/UPI-47551334785840/, Haaretz: http://www.haaretz.com/print-edition/news/brazil-under-fire-for-spending-350-million-on-israeli-drones-1.265590, CSM: http://www.csmonitor.com/World/Americas/2011/0420/Spread-of-drone-programs-in-Latin-America-sparks-calls-for-code-of-conduct, Global Post: http://www.globalpost.com/dispatch/news/regions/americas/brazil/130104/brazil-commercial-drones-uavs-coming-soon, Today's Zaman: http://www.todayszaman.com/news-324057-turkeys-homemade-corvette-uav-attract-brazils-attention.html, AEL Sistemas: http://www.ael.com.br/ing/ael_sistemas.php"
Bulgaria,100,BGR,0,0,1,1,none,none,1,,,42.76853987,25.21773886,Bulgaria has domestic production of mini-drones and has signed on to be a member of NATO's Airborne Ground Surveillance Program which will give NATO five High Altitude Long Endurance drones by 2017.,"Northrop Grumman: http://www.northropgrumman.com/Capabilities/NATOAGS/Pages/default.aspx, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm, Army Recognition: http://www.armyrecognition.com/july_2012_new_army_military_defence_industry_uk/bulgarian_army_would_like_to_create_first_reconnaissance_drone_unit_to_join_ags_nato_program_3107122.html, Euro UVS: http://uvs-international.org/phocadownload/01_5_Presentations_by_UVSI/002_AUVSI_Summer-2001_Overview-of-the-current-uav-situation-with-a-focus-on-Europe.pdf, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
Burundi,108,BDI,0,0,1,0,United States,none,0,,,-3.463505537,29.8396629,Burundi has drones in the form of military aid from the United States. ,"BBC: http://www.bbc.co.uk/news/world-africa-13946702, AP: http://www.armytimes.com/article/20110626/NEWS/106260308/Pentagon-sending-45M-in-equipment-to-Somalia"
Canada,124,CAN,0,1,1,1,Israel,France,0,,,53.97995093,-97.55778858,"Canada produces drones domestically. Drones are also imported from Israel, namely for use in Afghanistan. At one time, Canada was considering importing drones from the United States.","Globe and Mail: http://www.theglobeandmail.com/technology/tech-news/canadian-technology-and-the-flight-of-the-drones/article17849259/, Library of Congress: http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA521374, CBC News: http://www.cbc.ca/world/story/2009/03/06/cdn-drones.html, Canadian Press: http://www.theglobeandmail.com/news/politics/ottawa-considers-high-altitude-drones-for-arctic-surveillance/article4219537/"
Chile,152,CHL,0,0,1,1,Israel,none,0,Iran,,-29.19288196,-70.57588386,Chile has domestic production of drones and has imported drones from Israel. There are reports of drone purchases from Iran and reports of Hermes 900 medium sized drones purchased from Israel by the navy.  Armed forces are already operating Hermes 900 drones. ,"ASCOA: http://www.as-coa.org/articles/explainer-drones-latin-america, UPI: http://www.upi.com/Business_News/Security-Industry/2013/04/05/Chile-orders-mini-Drones/UPI-27371365180187/, McClatchy DC:  http://www.mcclatchydc.com/2013/11/04/207398/increasing-drones-usage-in-latin.html, RT: http://rt.com/news/latin-america-drones-unregulated-216/, Flight Global: http://www.flightglobal.com/news/articles/chilean-navy-considers-hermes-900-deal-391408/, CSM: http://www.csmonitor.com/World/Americas/2011/0420/Spread-of-drone-programs-in-Latin-America-sparks-calls-for-code-of-conduct"
China,156,CHN,1,1,1,1,"Israel, Japan",Pakistan,0,"Germany, Iran","United Arab Emirates, Uzbekistan",35.87237438,102.4081188,"China has domestic production of armed and unarmed drones, and limited imports from Israel. There are limited imports from Japan, too, and some reports indicate that Germany has provided the engines used in Chinese drones. Another report alleges that Iran gave China access to the RQ-170 drone that went down in China. In August 2006, Japan's Yamaha Motor Company was accused of selling the RMAX helicopter drones to the Beijing Technology Company, which has ties to the Chinese People's Liberation Army (PLA), in violation of Japan's Foreign Exchange and Foreign Trade Control Law. China used surveillance drones, believed to be a Chinese BZK-005, over the Senkaku Islands in late 2013, and has used drones for domestic surveillance. Chinese authorities said in February 2013 that they had considered using a drone to kill a drug dealer in Myanmar who was responsible for the deaths of 13 Chinese soldiers. China also recorded the successful flight of its first stealth combat drone, the ""Sharp Sword,"" in November 2013. China unveiled the CH-4 and Yilong drones equipped with Blue Arrow-7 anti-tank missiles, which have designs similar to that of the U.S. Predator drones equipped with Hellfire missiles. China's drone arsenal has grown large enough to compete with the United States. Reports accuse China of hacking into U.S. drone companies and accessing information needed to ramp up their drone technologies. Unsubstantiated report that China has exported drones to the UAE and Uzbekistan.","WSJ: http://online.wsj.com/article/SB10001424052748703374304575622350604500556.html, Popular Science: http://www.popsci.com/technology/article/2012-12/inside-chinas-secret-arsenal, NYT: http://www.nytimes.com/2013/02/21/world/asia/chinese-plan-to-use-drones-highlights-military-advances.html, BBC: http://www.bbc.co.uk/news/world-asia-china-25033155, PopSci: http://www.popsci.com/technology/article/2012-12/inside-chinas-secret-arsenal, Der Spiegel: http://www.spiegel.de/international/world/messengers-of-death-are-drones-creating-a-new-global-arms-race-a-792590-2.html, Library of Congress: http://www.uadrones.net/military/research/acrobat/0611.pdf, NYT: http://www.nytimes.com/2013/02/21/world/asia/chinese-plan-to-use-drones-highlights-military-advances.html, NYT: http://www.nytimes.com/2013/09/21/world/asia/hacking-us-secrets-china-pushes-for-drones.html?_r=1&pagewanted=all&,  BBC: http://www.bbc.co.uk/news/world-asia-china-25033155, US News: http://www.usnews.com/news/articles/2013/03/14/report-chinese-drones-swarms-designed-to-attack-american-aircraft-carriers, Diplomat: http://thediplomat.com/2013/11/the-battle-for-the-senkakus-moves-to-the-skies/, Asia Defense Forum Review: http://apdforum.com/en_GB/article/rmiap/articles/online/features/2013/06/28/china-adds-drones"
Colombia,170,COL,0,0,1,1,"United States, Israel",none,0,,,3.910955904,-73.08018681,Colombia announced the launch of domestic production of a drone program meant to combat drug-trafficking. There are also imports from the United States.  The Washington Post reported that it was not clear from Wikileaks documents whether the drones were flown by U.S. military forces in Colombia or given to the Colombian armed forces as part of a multibillion-dollar military aid program. There have been imports of Hermes drones from Israel and Colombia is considering purchasing another Hermes 900 drones. The country's first drone flight simulator for training operators of drones was successfully produced in 2013. ,"ASCOA: http://www.as-coa.org/articles/explainer-drones-latin-america, In Sight Crime: http://www.insightcrime.org/news-briefs/colombia-producing-drones, UPI: http://www.upi.com/Science_News/Technology/2012/01/23/Colombia-mulls-buying-more-Israeli-Drones/UPI-27271327360725/, Washington Post: http://articles.washingtonpost.com/2011-03-23/world/35261451_1_drones-scaneagle-farc, COHA: http://www.coha.org/latin-america-puts-forward-a-mixed-picture-on-the-use-of-drones-in-the-region/, Al Jazeera: http://www.aljazeera.com/indepth/opinion/2012/11/2012116114514211617.html, Global Post: http://www.globalpost.com/dispatch/news/agencia-efe/130510/colombia-rolls-out-flight-simulator-drones, Dialogo: http://dialogo-americas.com/en_GB/articles/rmisa/features/regional_news/2013/08/01/colombia-drones"
Croatia,191,HRV,0,1,0,0,Israel,none,0,,,45.61634374,16.61118032,Croatia imported two Hermes 450 drones from Israel in 2007.,Military Factory: http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=824
Czech Republic,203,CZE,0,0,1,1,none,none,1,,,49.73244821,15.3141031,"The Czech Republic has domestic production of drones. Along with 14 other NATO allies, will take part in buying five drones for NATO by 2017.","WSJ: http://blogs.wsj.com/emergingeurope/2013/06/12/drones-play-peacetime-role-with-flood-coverage/, Reuters: http://www.reuters.com/article/2012/02/15/us-nato-drones-idUSTRE81E1SD20120215, Paul Springer: https://books.google.com/books?id=b6-FrR21CicC&printsec=frontcover&dq=Springer,+Paul+J.+Military+Robots+and+Drones:+A+Reference+Handbook&hl=en&sa=X&ei=K5qRVNaGJvDisASHhICYCw&ved=0CCYQ6AEwAA#v=onepage&q&f=false, NATO: http://www.nato.int/cps/en/natolive/topics_48892.htm"
